ID	Organism	Subtype	Country	SamplingYear	Region	Organism_and_Subtype	Region_and_Year
AY857022|HIV-1|subtype:B	HIV-1	B	AUSTRALIA		Oceania	HIV-1_B	Oceania_unknown
AY857144|HIV-1|subtype:B	HIV-1	B	AUSTRALIA		Oceania	HIV-1_B	Oceania_unknown
AY857165|HIV-1|subtype:B	HIV-1	B	AUSTRALIA		Oceania	HIV-1_B	Oceania_unknown
AY878054|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2004	Africa	HIV-1_C	Africa_2004
AY878055|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2004	Africa	HIV-1_C	Africa_2004
AY878056|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2003	Africa	HIV-1_C	Africa_2003
AY878057|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2003	Africa	HIV-1_C	Africa_2003
AY878058|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2004	Africa	HIV-1_C	Africa_2004
AY878059|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2004	Africa	HIV-1_C	Africa_2004
AY878060|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2003	Africa	HIV-1_C	Africa_2003
AY878061|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2003	Africa	HIV-1_C	Africa_2003
AY878062|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2004	Africa	HIV-1_C	Africa_2004
AY878063|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2003	Africa	HIV-1_C	Africa_2003
AY878064|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2003	Africa	HIV-1_C	Africa_2003
AY878065|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2003	Africa	HIV-1_C	Africa_2003
AY878068|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2003	Africa	HIV-1_C	Africa_2003
