ID	Organism	Subtype	Country	SamplingYear	Region	Organism_and_Subtype	Region_and_Year
DQ396375|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2003	Africa	HIV-1_C	Africa_2003
DQ396376|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2003	Africa	HIV-1_C	Africa_2003
DQ396377|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2003	Africa	HIV-1_C	Africa_2003
DQ396378|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2003	Africa	HIV-1_C	Africa_2003
DQ396380|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2003	Africa	HIV-1_C	Africa_2003
DQ396381|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2004	Africa	HIV-1_C	Africa_2004
DQ396382|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2004	Africa	HIV-1_C	Africa_2004
DQ396383|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2004	Africa	HIV-1_C	Africa_2004
DQ396384|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2003	Africa	HIV-1_C	Africa_2003
DQ396385|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2003	Africa	HIV-1_C	Africa_2003
DQ396386|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2003	Africa	HIV-1_C	Africa_2003
